"from_node","to_node","lcp_length_m","lcp_cost"
1,2,847.279220613579,18472.739200592
4,36,963.380951166243,27671.7547874451
4,5,1313.9696961967,47162.9770851135
7,24,787.279220613579,16001.0191688538
10,36,1154.55844122716,34467.2422828674
11,31,2226.39610306789,128711.956882477
18,52,930,22240.8514099121
26,29,1021.24891681028,30461.5242652893
29,46,689.116882454314,14042.1266670227
31,32,674.558441227157,12359.3640785217
24,33,794.558441227157,16805.8972206116
39,46,3253.67532368147,271462.487705231
45,83,938.528137423857,26204.1400489807
54,334,3403.15800540037,335710.535434723
61,228,2580.73159852918,196959.276065826
31,62,839.116882454314,20266.3345069885
82,228,4552.9350596345,610505.580692291
85,106,1027.27922061358,26967.8989295959
86,106,1419.41125496954,52102.4807167053
106,131,702.426406871193,12582.9529380798
116,186,2515.21861300697,175164.631015778
129,247,1883.08657865101,100174.914951324
132,252,2464.26406871193,154537.514499664
186,252,2097.35064736294,127772.718418121
214,228,2070,108496.374053955
86,231,2504.55844122716,158409.479679108
299,525,3296.46752981725,307915.737094879
334,437,2904.33549546129,239778.688632965
347,430,1809.41125496954,83716.6462440491
365,485,4411.98051533946,562286.490146637
379,1019,5925.29003975634,947308.400547028
385,474,1384.26406871193,50269.3751564026
401,408,694.264068711929,13948.6394233704
401,411,741.837661840736,15554.1936988831
129,424,3341.54328932551,283346.933567047
430,506,1417.64501987817,59579.383644104
454,474,1080,29900.2626647949
464,506,1028.52813742386,31331.0480995178
466,491,1090.66017177982,35425.274684906
483,777,2386.69047558312,145464.539920807
408,485,1303.67532368147,48250.5209693909
491,592,762.426406871193,14795.1439476013
494,627,1630.66017177982,76349.3840675354
509,668,2429.4826817189,170907.641880035
474,511,3038.01081914276,271419.517276764
525,553,644.558441227157,11361.6560249329
506,550,1151.54328932551,36638.4241676331
454,558,1352.13203435596,46707.8881874084
569,619,891.837661840736,21754.5074501038
525,591,1695.80735803743,81142.1251564026
592,595,496.690475583121,7447.07987594604
553,593,1381.24891681028,53214.9293556213
601,1039,4402.56926036991,551833.683261871
646,1859,6611.24025129249,1289735.72504044
647,650,536.98484809835,8317.75932693481
649,806,1062.42640687119,28556.0983543396
658,1056,4480.14285349872,568768.995639801
776,777,744.852813742386,14205.3341560364
813,886,1395.80735803743,56560.8993873596
558,871,3272.86363288514,313856.944431305
896,986,2141.54328932551,118456.687168121
899,1039,2170.66017177982,129282.981052399
984,1002,784.264068711929,17459.9345436096
986,1049,1965.80735803743,106423.00687027
899,1019,2722.20346110532,208966.49148941
1039,1106,621.837661840736,11232.9405250549
